acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.6,0.39,0.67,0.82,1.74,0.98
-0.6,0.39,0.66,0.7,1.31,1.21
-0.6,0.4,0.66,0.49,1.47,1.42
-0.59,0.39,0.66,0.29,2.56,2.09
-0.59,0.4,0.67,-0.09,3.53,2.5
-0.58,0.4,0.67,-0.4,3.37,2.29
-0.58,0.4,0.68,0.03,2.26,1.21
-0.58,0.41,0.66,0.92,0.03,-0.49
-0.59,0.41,0.66,1.53,-1.51,-0.81
-0.6,0.41,0.66,0.55,-1.69,0.31
-0.6,0.41,0.66,0.05,1.28,1.74
-0.59,0.39,0.67,-0.52,4.08,2.58
-0.59,0.39,0.67,-0.49,5.47,2.63
-0.59,0.39,0.67,0.2,3.62,1.6
-0.58,0.39,0.66,0.49,0.75,0.46
-0.59,0.39,0.66,1.15,-1.31,-0.38
-0.59,0.39,0.67,1.07,-1.13,-0.47
-0.59,0.41,0.66,0.76,0.78,0.73
-0.6,0.4,0.67,0.37,2.31,1.59
-0.6,0.4,0.66,0.53,3.05,2.32
-0.59,0.39,0.66,0.7,2.63,2.32
-0.59,0.39,0.66,0.64,1.91,1.91
-0.59,0.4,0.67,0.92,1.54,1.3
-0.59,0.4,0.66,1.11,1.42,1.08
-0.59,0.4,0.66,1.13,1.4,0.79
-0.59,0.4,0.66,0.99,1.33,0.5
-0.59,0.4,0.66,1.13,1.51,0.82
-0.59,0.41,0.66,0.75,1.79,1.16
-0.59,0.41,0.66,0.56,2.21,1.44
-0.59,0.4,0.66,0.46,2.46,1.5
-0.59,0.4,0.67,0.37,2.52,1.31
-0.59,0.4,0.66,0.66,2.14,1.25
-0.59,0.4,0.66,0.27,1.83,1.04
-0.59,0.4,0.66,0.27,1.8,0.79
-0.59,0.4,0.67,0.47,1.57,0.69
-0.59,0.4,0.66,0.49,1.8,0.96
-0.6,0.4,0.65,0.47,1.86,1.31
-0.59,0.4,0.66,0.32,1.65,1.24
-0.6,0.4,0.66,0.47,1.42,1.25
-0.6,0.4,0.66,0.5,1.28,1.24
-0.6,0.4,0.66,0.56,1.63,1.39
-0.6,0.4,0.65,0.56,2.14,1.59
-0.59,0.39,0.66,0.29,2.52,1.39
-0.6,0.39,0.66,0.34,2.63,1.44
-0.59,0.4,0.66,0.47,2.37,1.34
-0.6,0.41,0.66,0.31,1.68,1.11
-0.6,0.4,0.67,0.27,1.59,0.96
-0.6,0.4,0.67,0.24,1.92,1.08
-0.6,0.4,0.66,0.53,2.84,1.21
-0.6,0.41,0.66,0.43,4.09,1.86
-0.6,0.4,0.65,0.0,5.04,2.4
-0.6,0.4,0.65,-0.58,5.85,2.89
-0.59,0.4,0.65,-0.55,5.53,2.87
-0.6,0.4,0.65,0.37,4.63,2.69
-0.59,0.39,0.65,0.55,4.34,3.05
-0.59,0.4,0.65,-0.02,4.09,2.85
-0.59,0.39,0.66,0.46,4.35,2.37
-0.59,0.39,0.65,1.05,5.19,3.21
-0.59,0.4,0.65,1.53,6.06,4.06
-0.6,0.4,0.65,1.05,6.82,4.21
-0.61,0.4,0.65,0.76,6.46,3.86
-0.61,0.4,0.66,1.27,5.3,3.42
-0.6,0.4,0.65,1.82,5.02,3.77
-0.61,0.41,0.65,1.44,5.3,3.6
-0.6,0.4,0.66,1.47,5.91,3.79
-0.61,0.41,0.65,1.74,7.04,4.58
-0.6,0.4,0.65,1.24,7.54,4.66
-0.61,0.41,0.66,0.55,6.26,3.28
-0.6,0.41,0.64,1.53,5.01,3.02
-0.61,0.4,0.64,1.37,4.85,3.6
-0.6,0.4,0.65,0.69,4.37,2.67
-0.6,0.41,0.64,0.78,4.37,2.21
-0.6,0.4,0.65,0.93,3.85,2.61
-0.6,0.41,0.64,1.53,4.63,3.63
-0.6,0.41,0.65,1.19,5.31,3.16
-0.61,0.41,0.65,1.21,5.6,2.78
-0.61,0.41,0.63,1.88,5.33,3.04
-0.61,0.4,0.65,0.85,5.24,3.28
-0.61,0.4,0.65,0.21,2.49,1.13
-0.62,0.42,0.62,2.58,-0.06,0.03
-0.62,0.42,0.64,3.44,-1.16,0.58
-0.63,0.42,0.64,0.67,-0.47,2.63
-0.61,0.41,0.64,-2.37,3.68,5.39
-0.59,0.38,0.66,-2.12,8.11,5.65
-0.58,0.37,0.65,-1.47,7.34,2.76
-0.59,0.39,0.66,-1.56,-0.61,-1.71
-0.6,0.41,0.65,-1.24,-10.32,-5.65
-0.6,0.43,0.66,-1.16,-16.32,-7.63
-0.6,0.42,0.65,-1.69,-15.59,-8.11
-0.62,0.42,0.64,-2.02,-10.72,-6.41
-0.61,0.41,0.64,-2.58,-5.4,-2.89
-0.6,0.41,0.63,-2.34,-2.55,-0.49
-0.6,0.4,0.64,-0.75,-1.56,-0.23
-0.6,0.39,0.64,0.63,-2.61,-0.93
-0.6,0.4,0.65,0.05,-1.98,0.73
-0.6,0.41,0.66,-0.76,-1.04,0.76
-0.61,0.41,0.66,-0.64,0.76,2.72
-0.6,0.4,0.66,0.43,2.05,3.86
-0.62,0.4,0.64,1.86,1.28,1.71
-0.62,0.4,0.63,0.85,0.03,1.83
-0.61,0.4,0.64,-1.73,-0.38,2.67
-0.6,0.4,0.66,-1.24,-0.11,1.94
-0.59,0.4,0.65,-1.31,-0.17,2.82
