acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.24,0.4,0.86,0.55,0.55,2.31
0.24,0.4,0.86,0.46,0.73,2.24
0.25,0.4,0.85,0.61,0.55,2.06
0.25,0.41,0.85,0.44,0.47,1.91
0.25,0.41,0.85,0.37,0.64,1.42
0.24,0.41,0.86,0.52,0.55,1.31
0.24,0.41,0.85,0.2,0.46,0.92
0.25,0.4,0.86,0.35,0.44,0.96
0.24,0.41,0.86,0.31,0.34,0.76
0.25,0.4,0.86,0.6,0.47,0.89
0.24,0.41,0.86,0.47,0.5,0.95
0.24,0.41,0.85,0.5,0.5,1.11
0.24,0.41,0.85,0.64,0.67,0.92
0.24,0.4,0.85,0.81,0.56,1.22
0.24,0.4,0.86,0.85,0.52,1.5
0.24,0.41,0.85,1.1,0.46,1.71
0.24,0.41,0.86,1.13,0.55,1.94
0.25,0.41,0.86,1.27,0.47,1.89
0.24,0.4,0.85,1.28,0.79,1.92
0.25,0.41,0.86,1.16,0.4,2.11
0.24,0.42,0.86,1.22,0.63,2.05
0.24,0.41,0.85,1.01,0.64,1.76
0.24,0.41,0.84,0.92,0.6,1.54
0.24,0.4,0.86,0.95,0.55,1.4
0.24,0.41,0.85,0.75,0.38,1.25
0.25,0.41,0.85,0.69,0.53,1.33
0.24,0.41,0.85,0.61,0.64,1.08
0.24,0.4,0.85,0.6,0.73,0.82
0.25,0.41,0.85,0.67,0.55,1.01
0.25,0.41,0.86,0.81,0.6,0.87
0.25,0.41,0.86,0.89,1.05,1.02
0.24,0.41,0.85,0.67,0.72,1.4
0.25,0.41,0.84,1.11,0.61,1.28
0.24,0.41,0.85,1.02,0.98,1.13
0.24,0.41,0.86,1.01,0.55,1.6
0.24,0.41,0.85,1.15,0.6,1.31
0.24,0.41,0.85,1.01,0.7,1.59
0.24,0.41,0.85,1.3,0.99,1.68
0.24,0.4,0.86,1.15,1.13,1.79
0.24,0.41,0.86,0.82,0.85,1.65
0.25,0.41,0.85,0.6,0.92,1.88
0.25,0.41,0.86,1.1,0.72,1.85
0.25,0.41,0.85,0.96,0.92,1.34
0.24,0.41,0.85,0.79,1.08,1.22
0.25,0.43,0.85,0.69,0.95,1.25
0.25,0.41,0.86,0.85,1.39,1.18
0.25,0.41,0.85,0.92,1.6,1.13
0.24,0.41,0.86,0.11,1.05,0.95
0.23,0.42,0.86,0.05,0.61,0.73
0.23,0.42,0.86,0.4,0.46,0.63
0.23,0.42,0.86,0.61,0.21,1.16
0.24,0.41,0.85,0.9,0.76,1.91
0.25,0.41,0.84,1.08,1.94,2.38
0.26,0.4,0.85,0.15,2.02,2.55
0.25,0.39,0.86,-0.14,1.8,2.18
0.25,0.4,0.85,0.23,0.9,1.63
0.25,0.41,0.85,0.69,0.34,1.76
0.25,0.43,0.84,0.99,0.2,2.15
0.25,0.43,0.84,0.64,0.38,2.23
0.26,0.42,0.85,0.27,0.58,1.8
0.26,0.42,0.85,0.14,0.72,1.16
0.25,0.41,0.84,0.17,0.78,0.75
0.25,0.41,0.86,0.27,0.92,0.43
0.24,0.41,0.86,0.12,0.89,-0.08
0.24,0.41,0.86,0.15,1.15,-0.14
0.23,0.41,0.85,0.27,1.19,0.0
0.24,0.41,0.85,0.08,1.11,0.11
0.23,0.41,0.86,0.06,0.93,0.44
0.24,0.41,0.86,0.31,1.31,0.67
0.24,0.41,0.85,0.7,1.47,1.39
0.24,0.41,0.86,1.21,1.59,1.82
0.24,0.41,0.86,1.34,1.42,2.17
0.24,0.4,0.86,1.47,1.48,2.73
0.25,0.41,0.85,1.34,1.53,2.46
0.25,0.41,0.85,0.93,0.87,2.47
