acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.26,0.4,0.86,0.15,1.04,0.84
0.25,0.4,0.85,0.27,1.05,1.04
0.25,0.4,0.85,0.32,1.02,1.21
0.25,0.41,0.85,0.29,0.7,1.34
0.25,0.4,0.85,0.47,1.21,1.36
0.25,0.4,0.85,0.38,0.85,1.53
0.25,0.4,0.85,0.56,0.82,1.69
0.26,0.4,0.86,0.52,0.9,1.54
0.25,0.4,0.85,0.84,1.15,1.22
0.25,0.4,0.85,0.75,1.08,1.15
0.25,0.41,0.86,0.81,1.1,1.45
0.26,0.4,0.85,0.43,0.96,1.37
0.25,0.4,0.86,0.63,1.3,1.36
0.25,0.4,0.85,0.61,1.05,0.92
0.25,0.4,0.85,-0.06,0.69,0.99
0.25,0.41,0.86,0.75,0.92,0.79
0.24,0.41,0.85,0.79,0.46,1.4
0.24,0.4,0.85,0.85,0.6,2.34
0.25,0.4,0.85,1.53,1.57,2.96
0.26,0.39,0.85,1.25,1.94,2.99
0.26,0.38,0.85,0.44,1.82,2.6
0.26,0.39,0.86,0.34,0.78,1.97
0.25,0.41,0.85,0.72,0.06,1.63
0.26,0.42,0.84,0.69,0.2,1.86
0.26,0.43,0.84,0.75,0.17,2.18
0.25,0.41,0.84,0.44,0.35,1.48
0.26,0.4,0.85,0.53,0.4,1.01
0.26,0.4,0.85,0.46,0.38,0.37
0.26,0.41,0.85,0.66,0.64,0.23
0.25,0.4,0.86,0.52,0.31,-0.09
0.25,0.4,0.85,0.61,0.52,0.03
0.24,0.41,0.86,0.89,0.89,0.31
0.25,0.4,0.86,0.69,1.08,0.61
0.25,0.41,0.85,0.64,1.11,0.75
0.25,0.4,0.85,0.84,0.96,1.34
0.25,0.41,0.85,1.19,1.13,1.92
0.25,0.4,0.85,1.3,0.87,2.47
0.25,0.4,0.85,1.68,0.92,2.78
0.25,0.39,0.86,1.82,0.43,2.84
0.26,0.4,0.85,1.68,0.46,2.55
0.26,0.41,0.85,1.76,0.31,2.18
0.25,0.42,0.85,1.74,-0.14,1.62
0.26,0.42,0.85,1.27,-0.44,1.95
0.25,0.41,0.84,1.47,0.02,1.89
0.26,0.41,0.85,0.89,0.76,1.77
0.25,0.4,0.85,0.46,0.93,0.95
0.25,0.4,0.86,0.63,0.47,0.63
0.25,0.4,0.86,0.34,0.15,0.44
