acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.28,0.45,0.82,0.49,0.11,1.25
0.3,0.45,0.82,0.46,0.85,1.4
0.29,0.46,0.82,0.26,0.67,1.34
0.3,0.46,0.82,0.27,0.41,1.31
0.29,0.46,0.83,0.34,0.55,1.13
0.29,0.46,0.83,0.58,0.93,0.89
0.3,0.46,0.82,0.66,0.73,0.98
0.3,0.46,0.82,0.02,0.14,0.81
0.29,0.44,0.83,0.08,0.95,0.76
0.29,0.45,0.83,-0.5,0.72,0.79
0.29,0.45,0.83,-1.18,0.41,0.52
0.28,0.46,0.83,-0.29,0.46,0.46
0.28,0.46,0.84,-0.18,-0.03,1.1
0.29,0.45,0.83,0.0,0.0,1.92
0.31,0.44,0.82,0.73,1.04,2.5
0.31,0.43,0.82,0.34,1.37,2.66
0.3,0.43,0.83,0.26,0.78,2.49
0.31,0.44,0.83,0.24,-0.12,1.85
0.3,0.46,0.82,0.5,-0.98,1.82
0.3,0.46,0.81,0.23,-0.73,2.21
0.31,0.47,0.81,-0.26,-0.21,1.91
0.3,0.46,0.83,-0.38,0.55,1.5
0.3,0.45,0.82,-0.08,0.58,0.76
0.29,0.46,0.82,-0.12,0.98,0.12
0.29,0.45,0.82,-0.67,1.1,-0.11
0.29,0.45,0.83,-0.79,1.02,-0.53
0.29,0.45,0.83,-0.98,0.75,-0.35
0.29,0.45,0.83,-0.53,0.85,0.06
0.29,0.45,0.83,-0.61,0.81,0.56
0.3,0.45,0.83,-0.34,0.73,0.63
0.3,0.45,0.83,-0.08,0.58,0.96
0.29,0.45,0.83,0.38,0.5,1.4
0.29,0.45,0.82,0.55,0.66,2.12
0.3,0.44,0.82,0.38,0.75,2.4
0.29,0.45,0.82,0.37,0.67,2.2
0.3,0.45,0.82,0.55,0.58,1.65
0.29,0.45,0.81,0.35,-0.05,1.27
0.29,0.46,0.82,0.52,-0.06,1.48
0.3,0.46,0.81,0.12,0.21,1.45
0.3,0.45,0.82,-0.72,0.53,1.3
