acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.57,0.71,0.4,0.76,0.5,0.92
-0.57,0.7,0.4,1.08,0.81,1.33
-0.57,0.69,0.39,1.51,1.74,1.54
-0.56,0.7,0.4,1.68,2.55,1.97
-0.57,0.7,0.4,1.42,2.63,1.85
-0.57,0.7,0.4,1.62,2.84,2.12
-0.56,0.71,0.41,1.24,2.52,2.44
-0.57,0.7,0.4,1.16,2.15,2.23
-0.58,0.7,0.4,0.84,2.29,2.17
-0.58,0.7,0.39,0.6,2.18,1.82
-0.58,0.7,0.39,0.12,1.34,1.53
-0.57,0.7,0.4,-0.24,0.79,1.25
-0.57,0.7,0.39,-0.53,0.43,1.21
-0.57,0.71,0.39,-0.38,0.53,1.18
-0.57,0.7,0.39,-0.56,0.46,0.96
-0.57,0.7,0.39,-0.32,0.2,0.72
-0.57,0.71,0.4,-0.17,0.06,0.64
-0.57,0.71,0.41,-0.12,-0.34,0.43
-0.57,0.7,0.41,0.24,-0.26,0.03
-0.57,0.7,0.41,0.34,-0.52,0.12
-0.57,0.71,0.39,0.41,-0.64,0.14
-0.58,0.71,0.4,0.73,-0.21,0.4
-0.57,0.71,0.4,0.76,0.61,0.6
-0.58,0.71,0.4,0.38,0.96,0.49
-0.58,0.7,0.4,0.34,0.5,0.37
-0.58,0.7,0.4,-0.21,-0.12,0.44
-0.58,0.71,0.39,-0.43,-1.07,0.35
-0.58,0.7,0.38,-0.29,-0.53,0.73
-0.58,0.7,0.39,-0.14,0.93,1.69
-0.57,0.7,0.4,-0.44,2.61,2.75
-0.57,0.69,0.41,-0.81,3.51,2.31
-0.57,0.68,0.42,-1.16,3.04,1.45
-0.57,0.68,0.41,-1.69,1.11,0.75
-0.57,0.7,0.41,-1.53,-0.66,0.76
-0.56,0.71,0.41,-0.99,-1.42,0.84
-0.57,0.71,0.4,-0.81,-0.87,1.04
-0.55,0.7,0.4,-0.38,-0.11,1.42
-0.56,0.7,0.39,0.23,0.95,1.74
-0.57,0.71,0.4,0.5,0.63,1.68
-0.57,0.7,0.4,0.64,-0.34,1.54
-0.58,0.71,0.4,0.79,-1.18,1.22
-0.57,0.7,0.39,0.81,-1.39,1.02
-0.57,0.7,0.39,0.99,-0.82,0.95
-0.57,0.7,0.39,0.82,0.32,1.19
-0.58,0.7,0.4,0.56,0.75,1.16
-0.57,0.7,0.41,0.6,0.64,1.44
-0.57,0.69,0.4,0.64,0.6,1.45
-0.57,0.69,0.41,0.9,1.3,1.8
-0.57,0.7,0.41,0.67,2.23,2.09
-0.57,0.7,0.4,0.32,2.81,2.02
-0.57,0.7,0.41,0.24,2.26,2.12
-0.57,0.71,0.4,0.02,0.92,1.73
-0.57,0.71,0.4,-0.23,-0.47,1.36
-0.57,0.7,0.4,0.27,-1.36,1.44
-0.57,0.71,0.39,-0.03,-1.88,2.05
-0.57,0.71,0.39,0.12,-1.73,2.6
-0.58,0.71,0.39,0.26,-2.06,2.21
-0.57,0.71,0.4,0.27,-2.34,1.66
-0.57,0.7,0.41,-0.05,-2.47,1.19
-0.57,0.7,0.4,-0.14,-2.38,0.98
-0.57,0.7,0.4,-0.26,-2.23,1.18
-0.57,0.7,0.4,-0.5,-2.11,1.05
-0.57,0.7,0.41,-0.52,-2.0,0.96
-0.57,0.7,0.41,-0.32,-1.42,1.3
-0.57,0.7,0.39,-0.31,-0.23,1.54
-0.57,0.69,0.41,-0.32,0.78,1.76
-0.57,0.7,0.41,-0.34,1.33,1.63
-0.57,0.69,0.41,-0.21,1.33,1.31
-0.57,0.7,0.4,-0.18,1.25,1.05
-0.57,0.7,0.41,0.12,1.65,1.02
-0.57,0.7,0.4,0.06,2.03,0.85
-0.58,0.7,0.4,0.43,1.97,0.6
-0.58,0.7,0.4,0.64,2.03,0.61
-0.57,0.7,0.4,0.72,1.76,0.55
-0.58,0.71,0.4,0.6,1.3,0.32
-0.57,0.7,0.4,0.81,1.27,0.21
-0.56,0.71,0.42,1.01,1.01,0.32
-0.57,0.7,0.41,1.19,0.85,0.17
-0.58,0.7,0.41,1.04,0.31,0.26
-0.57,0.7,0.41,1.04,0.27,0.11
-0.57,0.7,0.39,0.95,0.27,0.2
-0.57,0.7,0.41,0.93,0.98,0.47
-0.57,0.7,0.4,1.24,1.74,0.85
-0.57,0.69,0.4,0.96,1.91,0.89
-0.57,0.7,0.41,0.72,1.69,0.99
-0.57,0.7,0.41,0.47,1.62,1.02
-0.57,0.69,0.4,0.53,1.74,1.16
-0.57,0.7,0.4,0.21,2.05,1.05
-0.57,0.7,0.4,0.32,2.08,0.99
-0.57,0.7,0.4,0.34,1.62,0.96
-0.57,0.7,0.4,0.53,1.68,1.28
-0.58,0.7,0.41,0.79,1.91,1.31
-0.58,0.7,0.4,0.89,2.41,1.24
-0.57,0.7,0.4,0.76,2.26,1.1
-0.57,0.7,0.39,0.99,1.63,1.13
-0.57,0.7,0.4,1.34,2.27,1.37
-0.57,0.7,0.41,1.27,2.31,1.48
-0.57,0.71,0.4,1.18,1.92,1.31
-0.58,0.7,0.39,1.3,1.68,1.34
-0.57,0.7,0.39,1.24,1.94,1.6
-0.57,0.71,0.4,1.01,2.05,1.31
-0.57,0.7,0.4,0.87,1.63,1.11
-0.58,0.7,0.4,1.15,1.45,1.21
-0.57,0.71,0.4,0.64,0.98,1.13
-0.58,0.71,0.39,0.73,0.7,0.72
-0.59,0.7,0.38,0.79,1.66,0.41
-0.58,0.68,0.37,1.66,3.31,0.82
-0.58,0.7,0.39,1.02,3.65,0.85
-0.58,0.68,0.4,1.08,4.03,1.6
-0.57,0.7,0.4,0.87,3.11,1.59
-0.58,0.7,0.39,1.44,2.72,1.89
-0.58,0.7,0.39,1.37,2.92,2.99
-0.57,0.7,0.41,0.81,3.31,3.62
-0.57,0.69,0.41,0.23,3.63,2.75
-0.57,0.69,0.4,-0.64,3.04,1.74
-0.58,0.7,0.41,-1.24,1.19,1.51
-0.57,0.7,0.4,-1.3,-0.52,1.48
-0.57,0.71,0.4,-1.18,-1.42,2.0
-0.56,0.7,0.41,-0.32,-0.14,2.99
-0.56,0.71,0.4,0.61,1.82,2.5
-0.56,0.7,0.38,1.56,2.67,2.24
-0.58,0.71,0.38,2.34,3.34,2.27
-0.57,0.7,0.39,2.53,3.04,2.17
-0.58,0.7,0.38,3.15,3.04,1.77
-0.58,0.69,0.37,3.88,4.03,2.63
-0.58,0.7,0.39,2.92,4.98,3.66
-0.58,0.69,0.39,3.01,6.63,4.87
-0.57,0.7,0.39,3.94,7.31,5.95
-0.58,0.69,0.39,4.99,6.52,6.41
-0.57,0.7,0.39,6.12,7.39,2.58
-0.58,0.69,0.37,6.75,6.75,1.53
-0.58,0.7,0.38,6.05,7.27,1.74
-0.58,0.7,0.38,4.58,7.51,2.27
-0.56,0.72,0.39,3.04,6.98,1.91
-0.57,0.71,0.4,3.59,6.67,2.85
-0.57,0.71,0.38,3.68,6.31,2.63
-0.57,0.71,0.38,2.03,5.15,1.28
-0.58,0.71,0.39,2.89,4.32,0.2
-0.59,0.7,0.38,3.1,1.88,0.96
-0.58,0.71,0.37,2.32,0.35,2.55
-0.59,0.71,0.38,1.4,0.31,3.31
-0.57,0.7,0.38,1.4,-0.93,4.75
-0.57,0.7,0.39,1.85,-2.93,5.89
-0.57,0.72,0.39,1.22,-4.52,6.2
-0.58,0.71,0.39,1.11,-5.19,6.24
-0.58,0.7,0.37,0.11,-4.12,6.53
-0.56,0.71,0.38,-1.76,-3.57,8.08
-0.48,0.7,0.38,-3.83,1.47,16.5
-0.41,0.72,0.39,-8.84,-2.03,22.14
-0.32,0.93,0.54,-20.31,-31.66,24.27
-0.5,0.72,0.39,-9.68,-44.34,15.22
-0.62,0.74,0.38,-9.98,-69.88,10.21
-0.72,0.73,0.39,-7.95,-66.37,8.55
-0.64,0.67,0.39,-14.75,-47.74,14.7
-0.58,0.65,0.37,-18.9,-21.05,17.05
-0.56,0.65,0.4,-16.92,-6.41,22.27
-0.49,0.63,0.4,-17.08,-12.09,26.06
-0.48,0.62,0.41,-8.46,-22.76,27.54
-0.65,0.71,0.67,-10.58,-31.82,34.05
-0.4,0.67,0.27,-8.2,-24.47,35.27
-0.33,0.83,0.48,-11.48,-15.5,50.7
-0.44,0.77,0.44,-7.91,-8.72,49.91
-0.47,0.84,0.57,-4.17,-8.66,51.25
-0.57,0.79,0.46,1.19,-9.19,39.01
-0.63,0.72,0.47,1.5,-6.7,42.98
-0.45,0.79,0.47,0.61,3.68,38.63
-0.5,0.76,0.46,0.53,6.44,27.31
-0.56,0.82,0.53,2.4,6.72,18.4
-0.55,0.75,0.42,4.14,6.66,10.31
-0.59,0.74,0.4,6.99,13.02,3.6
-0.6,0.82,0.51,6.46,18.02,-2.21
-0.5,0.8,0.45,9.88,20.34,-8.92
-0.53,0.77,0.42,12.37,23.04,-19.01
-0.55,0.77,0.4,14.93,23.8,-29.37
-0.6,0.77,0.41,18.26,25.59,-39.33
-0.61,0.78,0.44,18.5,29.31,-43.13
-0.57,0.78,0.49,15.31,33.39,-39.95
-0.47,0.76,0.48,15.22,39.74,-33.47
-0.4,0.78,0.44,15.1,40.89,-29.69
-0.4,0.76,0.4,15.82,32.92,-27.79
-0.42,0.77,0.37,15.24,18.44,-26.18
-0.48,0.74,0.37,13.71,4.66,-25.15
-0.5,0.71,0.34,12.89,-3.59,-23.37
-0.55,0.68,0.37,11.39,-1.22,-23.42
-0.54,0.7,0.4,7.15,3.82,-21.63
-0.55,0.71,0.43,3.13,8.17,-20.69
-0.53,0.71,0.43,2.99,9.53,-20.12
-0.53,0.72,0.42,0.93,5.05,-17.02
-0.5,0.74,0.4,-0.12,2.4,-15.4
-0.5,0.75,0.4,-2.0,-0.12,-14.58
-0.52,0.76,0.4,-4.47,-2.63,-13.48
-0.55,0.76,0.36,-5.95,-4.6,-13.24
-0.56,0.75,0.36,-8.27,-9.08,-9.57
-0.55,0.73,0.37,-11.05,-8.58,-4.73
-0.54,0.71,0.39,-11.13,-6.31,-2.67
-0.54,0.72,0.4,-9.77,-2.69,-3.4
-0.54,0.71,0.38,-8.75,-3.24,-4.32
-0.56,0.71,0.41,-6.2,-5.63,-4.47
-0.56,0.69,0.34,-3.34,-5.5,-4.82
-0.59,0.71,0.37,-4.56,-4.06,-3.24
-0.57,0.71,0.37,-4.85,-0.5,-2.06
-0.57,0.7,0.37,-4.5,2.27,-1.45
-0.57,0.69,0.38,-4.15,1.4,-1.22
-0.57,0.69,0.41,-4.4,-1.83,-1.18
-0.56,0.69,0.42,-5.79,-5.85,-2.21
-0.56,0.69,0.43,-5.66,-7.92,-2.76
-0.56,0.68,0.41,-4.0,-7.66,-3.34
-0.55,0.68,0.4,-3.73,-5.24,-3.59
-0.55,0.69,0.42,-2.81,-1.94,-3.27
-0.55,0.69,0.42,-2.49,-0.75,-3.15
-0.55,0.69,0.41,-1.83,-1.15,-2.43
-0.56,0.68,0.42,-1.71,-1.88,-1.76
-0.56,0.69,0.41,-2.14,-2.81,-1.1
-0.56,0.69,0.4,-2.12,-1.4,-0.31
-0.57,0.69,0.4,-1.65,-0.06,-0.58
-0.58,0.69,0.4,-0.72,1.16,-1.01
-0.58,0.69,0.4,0.12,1.65,-0.82
-0.59,0.7,0.4,0.52,2.7,-0.84
-0.58,0.7,0.4,0.63,2.76,-1.4
-0.58,0.7,0.41,0.43,2.43,-0.85
-0.57,0.7,0.41,-0.06,1.82,0.12
-0.57,0.7,0.41,-0.41,1.22,-0.17
-0.57,0.71,0.41,-0.27,1.01,-0.61
-0.57,0.7,0.41,-0.53,0.81,-0.9
-0.57,0.7,0.41,0.0,2.09,-0.76
-0.57,0.7,0.42,0.27,1.86,-0.21
-0.56,0.7,0.42,0.27,1.47,0.67
-0.57,0.69,0.41,-0.03,2.2,0.85
-0.57,0.7,0.41,-0.06,2.85,1.36
-0.57,0.7,0.42,-0.18,2.81,1.31
-0.58,0.69,0.41,0.2,2.61,0.46
-0.58,0.69,0.4,0.15,1.21,0.43
-0.57,0.69,0.4,0.24,0.95,0.26
-0.57,0.69,0.41,0.2,1.97,0.47
-0.56,0.7,0.42,-0.23,3.08,0.95
-0.56,0.69,0.41,0.17,4.09,0.95
-0.57,0.69,0.41,-0.02,3.51,2.35
-0.56,0.7,0.42,-0.09,3.44,3.28
-0.57,0.69,0.41,0.24,3.42,3.48
-0.57,0.69,0.41,-0.2,2.93,3.6
-0.58,0.69,0.41,0.09,2.87,3.36
-0.58,0.69,0.4,0.4,2.78,3.34
-0.58,0.69,0.42,0.31,2.76,2.81
-0.58,0.69,0.41,0.64,3.56,3.24
-0.57,0.7,0.41,0.78,4.18,3.56
-0.56,0.7,0.4,0.98,5.42,3.94
-0.57,0.7,0.41,0.82,5.44,4.18
-0.57,0.7,0.41,0.9,5.47,4.27
-0.56,0.7,0.41,0.73,5.27,3.79
-0.57,0.71,0.41,0.93,4.26,3.25
-0.57,0.71,0.41,0.99,3.04,3.05
-0.57,0.7,0.4,0.75,2.31,2.79
-0.57,0.71,0.4,0.72,2.31,2.55
-0.57,0.71,0.4,0.87,2.84,2.61
-0.57,0.71,0.41,0.58,2.26,2.52
-0.57,0.71,0.41,0.78,1.59,2.31
-0.56,0.7,0.4,1.01,1.37,2.46
-0.57,0.7,0.4,1.1,1.48,2.75
-0.57,0.7,0.4,0.89,1.21,2.63
-0.57,0.7,0.41,0.53,0.4,2.34
-0.58,0.7,0.4,0.38,0.18,2.0
-0.57,0.69,0.4,-0.08,0.09,2.49
-0.58,0.7,0.41,-0.29,0.38,2.09
-0.57,0.7,0.4,-0.02,0.96,1.6
-0.57,0.7,0.41,0.27,0.7,1.73
-0.57,0.7,0.4,0.58,1.18,2.4
-0.57,0.7,0.4,0.63,1.94,2.76
-0.57,0.7,0.4,0.31,1.91,2.66
-0.57,0.7,0.4,0.52,1.86,2.35
-0.58,0.71,0.4,0.63,1.37,2.15
-0.57,0.7,0.4,0.56,1.07,2.08
-0.56,0.7,0.41,0.43,1.33,2.4
-0.57,0.7,0.41,0.7,2.35,2.46
-0.57,0.7,0.41,1.33,2.64,2.21
-0.56,0.71,0.41,1.25,2.31,1.57
-0.57,0.7,0.4,1.34,1.98,1.56
-0.56,0.7,0.4,1.82,2.64,1.95
-0.57,0.7,0.4,1.69,2.52,2.24
-0.57,0.71,0.39,2.17,3.63,2.31
-0.57,0.71,0.4,2.0,3.28,2.27
-0.57,0.7,0.41,1.4,2.4,2.23
-0.57,0.7,0.4,0.92,0.5,1.86
-0.58,0.71,0.4,0.52,-0.41,1.39
-0.58,0.69,0.39,0.85,-0.18,1.34
-0.57,0.71,0.38,1.01,1.89,2.6
-0.57,0.71,0.4,0.2,3.07,3.51
-0.57,0.69,0.4,-0.32,4.12,3.5
-0.56,0.7,0.41,-0.72,3.51,2.7
-0.57,0.7,0.4,-0.95,2.32,1.77
-0.58,0.7,0.4,-0.52,1.56,0.6
-0.57,0.7,0.4,-0.44,1.3,0.98
