acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.31,0.44,0.82,-0.89,0.26,0.75
0.31,0.44,0.82,-0.75,0.2,0.64
0.31,0.44,0.82,-0.79,0.6,0.5
0.3,0.44,0.83,-0.69,0.4,0.63
0.31,0.44,0.83,-0.66,0.37,0.79
0.3,0.44,0.84,-0.53,0.6,0.69
0.31,0.44,0.82,-0.58,0.46,0.79
0.31,0.43,0.82,-0.4,0.47,0.84
0.3,0.44,0.82,-0.34,0.46,1.11
0.3,0.44,0.82,-0.29,0.37,1.13
0.3,0.44,0.83,-0.32,0.76,1.16
0.31,0.43,0.83,-0.24,0.69,1.3
0.3,0.44,0.84,0.0,0.64,1.27
0.3,0.43,0.83,0.02,0.49,1.27
0.31,0.44,0.82,0.08,0.72,1.34
0.31,0.44,0.82,-0.12,0.67,1.39
0.31,0.44,0.83,0.11,0.47,1.08
0.31,0.43,0.83,-0.08,0.67,1.05
0.3,0.44,0.82,-0.05,0.61,1.16
0.3,0.43,0.83,-0.2,0.79,1.02
0.3,0.44,0.82,-0.38,0.72,0.73
0.3,0.44,0.83,-0.27,0.66,0.58
0.31,0.44,0.83,-0.61,0.73,0.56
0.31,0.44,0.82,-0.53,0.73,0.49
0.3,0.44,0.83,-0.44,0.81,0.56
0.31,0.43,0.83,-0.44,0.73,0.66
0.3,0.44,0.83,-0.66,0.76,0.67
0.3,0.43,0.83,-0.37,0.72,0.75
0.3,0.43,0.82,-0.34,0.56,0.99
0.31,0.43,0.82,-0.52,0.67,1.07
0.3,0.43,0.83,-0.49,0.58,1.16
0.3,0.43,0.83,-0.12,0.69,1.27
0.31,0.43,0.82,0.05,0.7,1.25
0.31,0.43,0.83,-0.2,0.18,1.31
0.3,0.43,0.83,0.08,0.49,1.28
0.31,0.43,0.81,0.12,0.46,1.16
0.3,0.45,0.82,0.21,0.5,1.11
0.3,0.44,0.83,0.32,0.53,0.82
0.3,0.44,0.83,0.24,0.56,0.75
0.31,0.44,0.83,0.46,0.84,1.02
0.3,0.44,0.83,0.02,0.75,0.72
0.3,0.44,0.83,-0.7,0.35,0.64
0.3,0.44,0.83,-0.5,0.23,0.72
0.3,0.44,0.82,-0.23,0.23,0.69
0.3,0.44,0.82,-0.31,0.03,1.42
0.3,0.43,0.83,0.32,0.58,2.14
0.31,0.42,0.82,0.52,1.42,2.41
0.31,0.42,0.82,-0.05,1.44,2.41
0.31,0.42,0.83,0.02,1.15,2.29
0.31,0.43,0.83,0.23,0.18,2.12
0.3,0.44,0.82,0.31,-0.55,2.02
0.31,0.45,0.82,0.26,-0.18,2.31
0.31,0.45,0.82,0.09,-0.09,2.08
0.31,0.45,0.81,-0.27,-0.06,1.39
0.31,0.44,0.83,-0.12,0.24,0.69
0.31,0.43,0.82,-0.23,0.38,0.31
0.3,0.44,0.83,-0.09,0.56,0.05
0.3,0.43,0.83,-0.52,0.55,-0.29
0.3,0.44,0.82,-0.72,0.29,-0.31
0.3,0.44,0.83,-0.53,0.38,-0.15
0.3,0.43,0.83,-0.69,0.46,0.2
0.3,0.43,0.83,-0.26,0.41,0.44
0.31,0.43,0.83,0.05,0.41,0.72
0.3,0.43,0.83,0.55,0.87,1.31
0.31,0.43,0.83,0.96,0.96,2.21
0.31,0.43,0.83,0.92,1.07,2.21
0.31,0.44,0.83,1.1,1.05,2.34
0.3,0.43,0.82,0.73,0.6,2.09
0.31,0.43,0.82,0.7,0.53,1.62
0.31,0.44,0.83,0.47,0.67,1.31
0.31,0.45,0.81,0.11,-0.06,1.5
0.31,0.44,0.82,0.38,0.44,1.33
0.31,0.44,0.82,-0.18,0.78,0.87
0.31,0.43,0.82,-0.81,0.95,0.64
0.31,0.43,0.83,-0.78,0.55,0.34
0.3,0.44,0.83,-0.95,0.0,0.15
0.3,0.43,0.82,-0.67,-0.03,0.35
0.31,0.44,0.83,-0.6,-0.12,0.43
0.3,0.43,0.82,-0.78,-0.09,0.56
0.31,0.44,0.83,-0.6,0.14,0.98
0.3,0.43,0.83,-0.49,0.35,1.34
0.3,0.43,0.82,-0.32,0.43,1.33
0.31,0.44,0.83,-0.2,0.76,1.57
0.31,0.43,0.82,0.08,0.37,1.54
0.31,0.43,0.83,0.15,0.58,1.69
0.3,0.44,0.83,0.21,0.55,1.92
0.31,0.44,0.83,-0.21,0.49,1.86
0.3,0.44,0.82,-0.2,0.69,1.66
0.3,0.44,0.82,-0.26,0.67,1.37
0.31,0.44,0.83,-0.4,0.63,1.25
0.31,0.43,0.82,-0.5,0.87,1.15
0.31,0.43,0.82,-0.03,0.58,1.08
0.31,0.43,0.82,-0.12,0.81,0.79
0.31,0.44,0.82,-0.37,0.78,0.66
0.31,0.43,0.83,-0.44,0.7,0.32
0.3,0.44,0.83,-0.38,0.78,0.23
0.3,0.44,0.83,-0.31,0.84,0.41
0.31,0.43,0.82,-0.32,0.73,0.46
0.3,0.43,0.83,-0.38,0.96,0.34
0.31,0.43,0.83,-0.35,1.07,0.38
0.31,0.43,0.82,-0.24,0.93,0.63
0.3,0.43,0.82,0.17,0.9,0.75
0.31,0.43,0.83,0.29,0.79,0.96
0.31,0.44,0.83,0.52,0.9,0.95
0.3,0.43,0.82,0.92,0.85,1.19
0.3,0.43,0.83,0.78,1.04,1.48
0.31,0.43,0.83,0.98,0.98,1.37
0.3,0.43,0.83,0.81,0.92,1.36
0.3,0.43,0.83,0.75,1.02,1.25
0.3,0.43,0.83,1.05,0.58,0.67
0.3,0.43,0.82,0.89,0.06,-0.05
0.3,0.44,0.82,0.76,-0.21,-0.69
0.3,0.44,0.82,1.07,-0.61,-1.11
0.3,0.44,0.83,0.56,-0.35,-1.62
0.31,0.44,0.82,0.27,-0.31,-1.88
0.3,0.44,0.82,0.32,-0.87,-1.68
0.32,0.43,0.82,0.76,0.2,-0.67
0.3,0.43,0.82,0.81,0.98,-0.34
0.3,0.44,0.83,0.27,1.21,-0.63
0.3,0.43,0.83,0.38,1.13,-0.63
0.3,0.44,0.83,0.52,1.39,-0.06
0.31,0.43,0.82,0.63,1.02,0.23
0.31,0.44,0.83,0.23,1.83,-0.24
0.3,0.42,0.81,0.38,1.33,-0.26
0.3,0.43,0.82,1.13,1.44,0.38
0.31,0.44,0.82,1.74,1.6,0.21
0.31,0.44,0.82,1.8,1.34,-0.67
0.31,0.43,0.81,3.07,1.86,-1.07
0.3,0.44,0.82,3.34,2.17,-1.57
0.3,0.44,0.83,4.38,2.53,-2.06
0.3,0.44,0.82,4.69,2.7,-1.45
0.3,0.44,0.82,4.7,2.12,-0.93
0.29,0.45,0.82,5.16,1.76,-1.71
0.29,0.44,0.81,5.89,0.58,-2.67
0.29,0.44,0.83,5.83,-0.73,-2.46
0.31,0.43,0.82,6.35,-0.96,-2.6
0.29,0.44,0.81,7.45,-0.6,-3.86
0.3,0.43,0.82,8.11,-0.61,-4.49
0.32,0.42,0.82,9.22,0.49,-4.12
0.32,0.43,0.81,9.88,-0.47,-1.39
0.32,0.45,0.81,9.95,-0.9,0.37
0.32,0.46,0.79,10.03,-1.34,2.85
0.32,0.47,0.78,9.3,-1.36,4.15
0.3,0.45,0.77,10.64,-1.66,6.24
0.31,0.44,0.78,12.76,-3.91,9.79
0.32,0.43,0.76,16.53,-4.7,13.59
0.31,0.4,0.67,24.29,-7.19,22.02
0.33,0.36,0.64,38.03,-13.37,32.98
0.41,0.36,0.54,60.66,-19.13,42.06
0.51,0.42,0.67,68.76,-12.6,47.15
0.66,0.47,0.79,61.15,-25.59,50.15
0.18,0.5,0.82,57.07,-20.6,36.9
0.22,0.5,0.85,61.24,-25.71,25.59
0.27,0.56,0.9,56.98,-31.53,18.15
0.26,0.57,0.84,49.79,-40.24,23.83
0.29,0.56,0.86,52.44,-30.15,24.87
0.32,0.51,0.79,55.1,-32.47,23.11
0.4,0.57,0.75,44.69,-42.38,26.49
0.41,0.59,0.78,41.69,-31.83,23.05
0.35,0.6,0.81,33.89,-26.61,20.38
0.37,0.59,0.82,25.6,-27.83,18.76
0.33,0.55,0.7,34.44,-23.86,17.21
0.55,0.54,0.82,33.54,-11.37,20.7
0.39,0.57,0.69,26.11,-28.26,12.63
0.33,0.59,0.81,20.82,-10.44,19.77
0.49,0.55,0.63,24.6,-9.31,14.14
0.3,0.57,0.75,16.67,-15.07,17.04
0.66,0.53,0.68,21.51,1.56,13.62
0.36,0.56,0.7,18.29,-8.02,9.83
0.34,0.6,0.79,10.52,-5.08,16.14
0.57,0.57,0.62,8.75,-3.54,9.48
0.36,0.53,0.7,9.86,-6.87,9.97
0.4,0.58,0.77,7.1,0.46,15.95
0.55,0.58,0.59,9.36,-2.72,5.92
0.41,0.54,0.68,8.78,-3.02,7.6
0.41,0.59,0.77,4.47,5.63,7.66
0.52,0.6,0.62,3.18,-0.87,1.47
0.37,0.54,0.69,3.28,-3.25,4.96
0.55,0.59,0.75,0.82,5.04,7.63
0.41,0.59,0.67,-1.07,-0.09,-1.02
0.35,0.56,0.7,-5.11,-2.69,-0.05
0.4,0.57,0.76,-5.42,3.1,5.57
0.57,0.56,0.6,-4.78,0.09,-2.32
0.37,0.52,0.7,-4.89,-2.44,-0.52
0.36,0.55,0.7,-5.56,-1.1,5.56
0.52,0.56,0.76,-4.63,5.1,4.38
0.46,0.56,0.61,-2.41,-1.28,1.82
0.36,0.55,0.7,-8.96,-4.2,1.08
0.35,0.6,0.77,-12.4,-0.05,4.61
0.54,0.56,0.76,-18.2,1.85,4.78
0.45,0.58,0.65,-20.12,-2.96,-0.18
0.4,0.51,0.67,-15.51,-5.48,-0.75
0.4,0.57,0.7,-16.67,-2.7,-2.9
0.37,0.58,0.73,-19.15,-1.37,-1.74
0.43,0.59,0.77,-23.97,2.17,-4.66
0.57,0.56,0.7,-30.0,-1.18,-13.05
0.46,0.65,0.71,-39.71,-5.13,-18.17
0.39,0.67,0.79,-50.93,-4.12,-22.63
0.35,0.61,0.86,-57.51,-0.99,-25.45
0.34,0.52,0.88,-56.5,4.08,-22.73
0.34,0.49,0.86,-55.71,7.44,-20.55
0.36,0.53,0.9,-59.18,10.84,-26.52
0.39,0.54,0.94,-61.39,29.68,-35.8
0.39,0.52,0.87,-57.5,63.97,-42.58
0.44,0.47,0.65,-41.69,58.09,-36.21
0.41,0.41,0.54,-40.38,47.57,-23.54
0.38,0.45,0.54,-32.87,24.15,-20.15
0.44,0.51,0.67,-25.83,19.34,-28.31
0.38,0.48,0.74,-35.65,23.21,-30.5
0.37,0.46,0.8,-34.63,18.6,-31.1
0.38,0.41,0.77,-34.43,23.95,-27.3
0.36,0.41,0.74,-28.96,11.18,-23.07
0.4,0.4,0.72,-23.6,8.7,-16.67
0.45,0.42,0.74,-21.65,13.89,-12.76
0.37,0.46,0.72,-23.02,17.95,-13.04
0.33,0.44,0.72,-19.97,7.11,-12.06
0.37,0.45,0.76,-14.15,13.5,-9.37
0.41,0.43,0.74,-9.34,8.29,-4.12
0.4,0.49,0.79,-10.37,12.73,-3.47
0.37,0.47,0.79,-10.95,13.68,-5.34
0.34,0.47,0.8,-9.98,13.6,-6.43
0.33,0.45,0.79,-10.52,10.87,-3.6
0.34,0.44,0.79,-8.32,11.92,-3.6
0.34,0.44,0.8,-6.11,14.18,-2.4
0.34,0.45,0.82,-7.07,11.33,0.37
0.34,0.46,0.79,-6.78,13.97,-1.63
0.34,0.44,0.78,-4.72,10.26,1.13
0.35,0.45,0.79,-4.75,11.18,2.92
0.3,0.44,0.79,-5.11,9.89,2.64
0.34,0.47,0.82,-6.98,10.44,3.88
0.33,0.45,0.81,-8.56,10.0,5.82
0.32,0.44,0.82,-8.96,10.85,5.13
0.31,0.44,0.82,-8.41,11.98,4.05
0.32,0.44,0.83,-6.35,12.75,4.81
0.31,0.45,0.84,-8.95,11.69,3.66
0.31,0.44,0.81,-9.44,11.39,3.62
0.31,0.43,0.85,-8.34,11.62,2.35
0.32,0.44,0.82,-9.85,11.33,0.18
0.3,0.43,0.82,-9.66,9.3,-0.23
0.3,0.43,0.81,-8.08,10.05,-0.72
0.3,0.43,0.82,-7.89,11.37,-0.69
0.29,0.43,0.83,-5.3,10.69,-1.19
0.29,0.43,0.82,-6.85,10.35,-1.34
