acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.39,0.44,0.81,-1.31,-2.26,0.76
0.38,0.45,0.8,-1.42,-2.17,1.02
0.38,0.45,0.8,-1.22,-2.2,1.19
0.38,0.45,0.81,-1.28,-1.71,1.39
0.38,0.46,0.8,-1.08,-1.57,1.4
0.39,0.46,0.81,-0.93,-1.36,1.73
0.39,0.45,0.81,-0.44,-0.73,2.14
0.38,0.44,0.81,-0.14,-0.34,2.31
0.38,0.45,0.81,0.4,0.15,2.15
0.38,0.45,0.82,0.58,0.56,1.97
0.37,0.45,0.81,0.63,0.61,1.74
0.38,0.46,0.8,0.12,0.89,1.65
0.37,0.45,0.8,0.23,1.27,0.98
0.37,0.45,0.8,1.34,1.77,0.67
0.38,0.46,0.8,0.52,1.91,0.23
0.38,0.46,0.82,-0.4,1.19,0.11
0.38,0.45,0.81,-0.29,0.47,0.46
0.39,0.45,0.8,-0.46,0.67,0.34
0.39,0.45,0.8,-0.47,1.44,-0.15
0.39,0.46,0.8,-0.67,1.79,-0.43
0.39,0.46,0.8,-0.9,1.21,-0.15
0.39,0.46,0.81,-1.22,1.27,-0.15
0.38,0.46,0.8,-1.39,0.84,-0.02
0.37,0.46,0.82,-1.68,0.35,0.41
0.37,0.46,0.81,-1.69,0.03,0.53
0.37,0.45,0.8,-1.15,-0.06,0.58
0.37,0.45,0.8,-0.79,-0.05,1.07
0.38,0.45,0.81,-0.52,0.08,1.25
0.38,0.45,0.81,-0.26,-0.08,1.54
0.38,0.45,0.82,-0.08,0.32,1.69
0.38,0.45,0.81,0.03,0.49,1.97
0.38,0.45,0.81,-0.03,0.58,2.17
0.37,0.46,0.8,-0.32,0.43,2.37
0.38,0.45,0.81,-0.61,0.15,2.35
0.37,0.45,0.81,-0.7,0.06,2.24
0.38,0.46,0.81,-0.64,-0.15,2.02
0.38,0.46,0.8,-0.79,0.03,1.98
0.38,0.46,0.81,-1.01,0.2,1.37
0.38,0.45,0.8,-0.93,0.14,1.3
0.38,0.46,0.81,-1.22,0.24,1.07
0.38,0.46,0.81,-1.31,0.37,1.01
0.38,0.46,0.81,-1.54,0.23,0.81
0.38,0.45,0.8,-1.5,0.09,0.87
