acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.55,0.71,0.4,0.17,0.2,1.21
-0.55,0.71,0.41,0.18,0.27,1.21
-0.55,0.71,0.41,0.11,0.55,1.18
-0.56,0.71,0.4,0.11,0.61,1.19
-0.55,0.72,0.4,0.0,0.66,1.24
-0.55,0.71,0.4,0.2,0.15,1.3
-0.55,0.72,0.4,0.43,0.46,1.25
-0.56,0.71,0.4,0.58,0.81,1.74
-0.56,0.71,0.4,0.9,1.57,1.66
-0.56,0.7,0.4,0.47,1.31,1.54
-0.56,0.71,0.4,-0.09,0.31,1.42
-0.56,0.71,0.39,-0.05,-0.09,1.53
-0.56,0.71,0.39,0.34,1.21,2.05
-0.56,0.72,0.4,0.21,2.98,2.63
-0.56,0.71,0.4,0.05,4.23,2.23
-0.56,0.7,0.41,-0.37,4.32,1.37
-0.55,0.7,0.41,-1.01,3.19,0.93
-0.56,0.71,0.41,-1.07,1.94,0.5
-0.55,0.72,0.41,-0.9,0.66,0.37
-0.54,0.72,0.41,-0.44,0.29,0.58
-0.55,0.72,0.41,-0.05,0.38,0.69
-0.54,0.72,0.41,0.53,0.75,0.98
-0.55,0.72,0.41,0.67,0.38,1.11
-0.55,0.72,0.4,0.72,-0.08,1.37
-0.55,0.71,0.4,0.79,-0.98,1.27
-0.56,0.71,0.4,1.16,-1.18,1.33
-0.56,0.71,0.4,1.28,-0.81,1.21
-0.56,0.71,0.39,1.37,0.34,1.5
-0.57,0.71,0.41,1.31,0.78,1.51
-0.57,0.71,0.41,1.16,1.16,1.86
-0.56,0.71,0.41,1.31,1.74,1.92
-0.56,0.7,0.41,0.96,2.38,1.82
-0.56,0.71,0.41,0.43,2.64,1.8
-0.56,0.7,0.41,-0.05,2.44,1.47
-0.55,0.7,0.41,-0.27,1.69,1.33
-0.56,0.71,0.41,-0.32,1.77,1.36
-0.55,0.71,0.41,-0.31,1.65,1.36
-0.56,0.72,0.41,-0.21,1.63,1.11
-0.55,0.71,0.41,-0.32,0.93,0.7
-0.55,0.72,0.4,0.24,0.58,1.08
-0.56,0.72,0.4,0.32,-0.23,1.6
-0.55,0.72,0.4,0.58,0.21,1.76
-0.55,0.71,0.41,0.85,0.93,1.53
-0.56,0.71,0.41,0.75,0.93,1.45
-0.56,0.72,0.39,1.01,0.64,1.22
-0.55,0.71,0.4,0.87,0.34,1.28
-0.55,0.71,0.41,0.84,0.46,1.25
-0.55,0.71,0.4,1.13,0.99,1.69
-0.56,0.71,0.41,1.13,1.83,1.88
-0.55,0.71,0.4,1.08,2.52,1.86
-0.56,0.71,0.4,1.02,2.79,2.24
-0.55,0.71,0.41,0.82,2.58,2.0
-0.56,0.71,0.41,0.4,2.15,1.79
-0.55,0.71,0.4,0.26,1.71,1.27
-0.55,0.71,0.4,0.15,1.77,1.22
-0.55,0.72,0.41,0.21,1.54,0.95
-0.56,0.71,0.4,0.06,1.33,0.81
-0.56,0.72,0.4,0.15,1.25,0.85
-0.56,0.72,0.4,0.38,1.42,0.75
-0.55,0.7,0.4,0.7,1.74,0.98
-0.55,0.72,0.4,0.56,1.48,0.56
-0.55,0.72,0.41,1.02,1.34,0.73
-0.55,0.72,0.4,0.95,1.07,0.47
-0.56,0.72,0.4,0.98,0.67,0.56
-0.55,0.72,0.4,1.18,0.49,0.66
-0.56,0.72,0.4,1.04,0.56,0.75
-0.56,0.72,0.4,1.25,0.6,1.01
-0.56,0.71,0.4,1.15,0.79,0.76
-0.56,0.71,0.4,0.82,0.75,1.01
-0.56,0.71,0.4,0.76,1.34,1.08
-0.56,0.71,0.39,0.82,1.42,1.07
-0.56,0.71,0.4,0.81,1.69,1.22
-0.55,0.71,0.39,0.79,1.95,1.54
-0.55,0.71,0.4,0.69,2.17,1.37
-0.56,0.71,0.39,0.66,2.27,1.37
-0.56,0.72,0.4,0.69,2.27,1.59
-0.55,0.71,0.4,0.72,2.35,1.8
-0.56,0.71,0.4,1.15,2.6,1.98
-0.55,0.71,0.39,1.63,3.76,2.21
-0.55,0.7,0.38,2.76,5.47,2.76
-0.55,0.71,0.4,3.54,7.31,3.33
-0.55,0.7,0.39,5.24,9.28,3.82
-0.55,0.71,0.38,6.15,11.01,4.35
-0.56,0.71,0.39,6.58,11.05,3.95
-0.56,0.73,0.39,6.18,9.37,3.6
-0.56,0.73,0.39,5.34,7.04,3.4
-0.56,0.72,0.39,4.76,5.36,3.08
-0.56,0.72,0.39,3.86,4.61,2.37
-0.57,0.72,0.4,3.02,4.2,1.92
-0.57,0.72,0.39,2.32,3.34,1.59
-0.57,0.73,0.39,1.98,3.11,1.77
-0.56,0.72,0.39,1.63,2.78,1.76
-0.57,0.73,0.39,0.95,1.92,1.45
-0.57,0.73,0.39,0.52,0.81,1.07
-0.57,0.72,0.39,-0.14,-0.41,1.01
-0.56,0.73,0.4,-0.61,-1.6,0.61
-0.56,0.73,0.39,-1.42,-2.7,0.12
-0.56,0.72,0.38,-1.76,-3.63,-0.31
-0.56,0.72,0.39,-1.63,-3.82,-0.27
-0.55,0.71,0.39,-1.57,-3.36,-0.2
-0.55,0.71,0.39,-1.76,-3.73,-0.2
-0.56,0.72,0.39,-1.65,-3.8,-0.5
-0.56,0.72,0.39,-1.37,-4.03,-0.44
-0.57,0.72,0.39,-1.02,-3.82,-0.53
-0.56,0.72,0.38,-0.6,-2.87,0.18
-0.56,0.71,0.39,-0.66,-0.95,0.84
-0.56,0.72,0.39,-0.61,-0.05,0.6
-0.56,0.71,0.39,-1.19,-0.9,0.11
-0.57,0.72,0.38,-1.19,-2.24,0.15
-0.57,0.72,0.38,-0.75,-2.09,0.67
-0.57,0.72,0.38,-0.63,0.15,1.27
-0.56,0.71,0.39,-0.4,2.6,1.94
-0.56,0.7,0.39,0.09,4.79,1.4
-0.56,0.69,0.4,-0.2,5.16,0.78
-0.55,0.71,0.4,-0.66,3.89,-0.05
-0.55,0.72,0.41,-0.18,2.15,-0.21
-0.55,0.72,0.4,0.47,0.72,0.11
-0.55,0.72,0.39,0.66,1.18,0.4
-0.55,0.72,0.39,1.16,3.08,0.05
-0.56,0.72,0.37,2.05,4.7,-0.02
-0.56,0.71,0.38,2.73,5.47,0.76
-0.57,0.72,0.39,2.66,5.4,2.05
-0.56,0.71,0.38,3.54,6.08,3.51
-0.56,0.72,0.38,4.78,6.85,3.25
-0.57,0.7,0.39,4.98,5.82,3.05
-0.57,0.73,0.39,4.05,5.98,2.11
-0.58,0.71,0.37,4.98,7.39,0.66
-0.58,0.72,0.38,4.6,8.23,0.46
-0.57,0.72,0.38,3.97,8.46,1.97
-0.56,0.72,0.39,2.76,8.02,3.95
-0.55,0.71,0.39,2.24,7.98,5.66
-0.55,0.71,0.39,1.88,6.78,6.7
-0.55,0.71,0.39,1.97,5.21,6.24
-0.56,0.72,0.39,2.75,3.83,6.76
-0.56,0.72,0.38,3.1,3.07,7.37
-0.57,0.71,0.38,3.68,3.42,7.69
-0.57,0.71,0.37,3.91,4.76,8.96
-0.57,0.72,0.38,2.75,6.7,12.35
-0.56,0.72,0.39,2.06,7.19,14.85
-0.55,0.72,0.39,3.54,7.89,15.24
-0.57,0.73,0.38,3.97,7.02,13.33
-0.58,0.73,0.36,4.76,5.36,12.2
-0.59,0.74,0.35,3.79,5.54,10.95
-0.57,0.75,0.37,1.25,5.6,10.29
-0.56,0.75,0.36,0.81,4.2,8.34
-0.55,0.74,0.36,2.09,2.85,6.29
-0.53,0.74,0.38,2.32,-0.17,4.87
-0.54,0.89,0.55,-4.47,-13.25,7.68
-0.47,0.67,0.32,0.2,-6.49,3.5
-0.5,0.72,0.39,-4.17,-12.99,8.09
