acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.24,0.4,0.86,-0.05,-0.02,0.89
0.23,0.41,0.86,-0.03,0.26,0.56
0.23,0.41,0.85,-0.12,0.34,0.0
0.23,0.41,0.85,-0.27,0.03,0.18
0.24,0.41,0.86,-0.43,0.18,0.12
0.23,0.41,0.86,-0.47,0.41,0.31
0.23,0.41,0.87,-0.64,0.5,0.38
0.24,0.41,0.87,-0.21,0.55,0.87
0.23,0.41,0.87,-0.06,0.61,0.95
0.23,0.4,0.85,0.03,0.72,1.36
0.23,0.4,0.86,0.26,0.89,2.02
0.24,0.4,0.85,0.49,0.92,2.09
0.24,0.4,0.86,0.31,0.7,2.15
0.24,0.4,0.85,0.44,0.43,1.74
0.23,0.42,0.86,0.53,-0.06,1.76
0.24,0.42,0.85,0.41,-0.37,2.12
0.24,0.42,0.85,0.6,0.14,2.06
0.24,0.41,0.86,0.26,0.93,1.76
0.24,0.4,0.86,-0.34,0.56,1.44
0.24,0.4,0.85,-0.31,0.34,0.99
0.24,0.4,0.86,-0.55,-0.09,0.69
0.24,0.41,0.86,-0.67,-0.31,0.46
0.23,0.41,0.85,-0.6,-0.32,0.44
0.24,0.41,0.85,-0.78,-0.17,0.67
0.24,0.41,0.86,-0.63,-0.03,0.76
0.24,0.41,0.86,-0.53,0.29,1.15
0.25,0.41,0.86,-0.26,0.47,1.37
0.24,0.4,0.86,-0.11,0.53,0.98
0.24,0.4,0.86,0.35,0.6,1.45
0.23,0.4,0.86,0.12,0.78,1.54
0.24,0.4,0.85,-0.03,0.7,1.73
0.23,0.41,0.86,0.24,0.72,1.53
0.24,0.4,0.85,0.15,0.76,1.65
0.24,0.41,0.85,0.23,0.93,1.57
0.24,0.41,0.86,0.37,1.07,1.5
0.23,0.41,0.86,0.24,1.05,1.54
0.24,0.4,0.87,0.47,0.79,1.54
0.24,0.4,0.86,0.08,0.99,1.39
0.24,0.41,0.85,0.2,0.67,1.22
0.24,0.4,0.85,0.55,0.63,1.18
0.24,0.41,0.85,0.27,0.5,0.93
0.24,0.41,0.86,0.27,0.6,1.08
0.23,0.41,0.85,0.32,0.55,0.73
0.23,0.4,0.85,0.11,0.47,0.9
0.23,0.41,0.85,-0.11,0.56,0.78
0.23,0.41,0.86,0.14,0.6,0.73
0.24,0.41,0.85,0.41,0.63,0.64
0.24,0.4,0.87,0.24,0.61,0.96
0.24,0.4,0.85,0.17,0.53,0.85
0.23,0.4,0.85,0.17,0.72,0.84
0.23,0.41,0.86,0.02,0.58,1.16
0.24,0.41,0.85,0.18,0.58,1.28
0.24,0.42,0.86,0.37,0.63,1.62
0.24,0.4,0.86,0.31,0.92,1.56
0.23,0.41,0.87,0.53,0.41,1.62
0.23,0.41,0.86,0.73,0.66,1.73
0.24,0.41,0.86,0.53,0.61,1.76
0.23,0.4,0.85,0.73,0.6,1.31
0.24,0.41,0.85,0.95,0.31,1.1
0.24,0.41,0.85,0.92,0.12,0.89
0.24,0.42,0.85,0.64,0.17,0.47
0.24,0.4,0.87,0.47,0.35,0.4
0.24,0.41,0.86,0.2,0.49,0.41
0.24,0.41,0.85,-0.08,0.67,0.63
0.24,0.4,0.85,-0.02,0.58,0.64
0.24,0.41,0.85,-0.14,0.55,0.72
0.25,0.41,0.86,-0.29,0.75,0.56
0.24,0.41,0.85,-0.21,0.41,0.6
0.23,0.41,0.85,-0.2,0.24,0.92
0.23,0.41,0.85,-0.15,0.29,1.19
0.24,0.41,0.86,0.02,0.66,1.07
0.24,0.4,0.85,0.26,0.41,1.05
0.24,0.41,0.85,-0.03,0.26,1.22
0.25,0.41,0.85,0.37,0.46,1.34
0.24,0.41,0.85,0.47,0.37,1.71
0.24,0.4,0.86,0.6,0.66,1.53
0.24,0.41,0.86,0.67,0.84,1.37
0.24,0.42,0.86,0.64,0.73,1.37
0.24,0.41,0.86,0.78,1.07,1.45
0.24,0.4,0.85,0.9,1.42,1.22
