acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.36,0.45,0.8,2.82,0.08,3.31
0.37,0.45,0.8,2.55,0.12,3.27
0.37,0.45,0.8,1.89,0.27,3.44
0.36,0.45,0.81,1.45,-0.66,3.18
0.37,0.46,0.8,0.69,-1.02,2.82
0.37,0.45,0.8,0.32,-1.28,2.2
0.37,0.45,0.81,-0.23,-1.08,1.74
0.37,0.45,0.81,-0.81,-0.75,1.05
0.38,0.45,0.8,-1.1,-0.75,0.75
0.37,0.45,0.81,-1.25,-0.52,0.46
0.37,0.45,0.82,-1.44,-0.4,0.2
0.37,0.46,0.81,-1.45,-0.12,0.09
0.37,0.46,0.81,-1.21,0.18,-0.29
0.36,0.45,0.82,-1.16,0.5,-0.43
0.37,0.44,0.81,-1.11,0.41,-0.11
0.37,0.44,0.82,-1.02,0.4,0.09
0.37,0.44,0.81,-2.15,-0.14,0.61
0.37,0.44,0.81,-2.93,-0.76,1.01
0.36,0.45,0.82,-3.01,-0.35,1.6
0.35,0.45,0.8,-2.53,-0.53,2.46
0.37,0.45,0.81,-1.74,0.14,3.18
0.38,0.43,0.81,-0.84,1.86,3.24
0.38,0.42,0.83,-0.76,2.55,3.22
0.38,0.42,0.83,-0.43,3.08,2.84
0.37,0.44,0.81,-0.09,1.77,2.38
0.37,0.45,0.8,0.0,0.5,2.03
0.36,0.46,0.8,0.03,0.2,1.66
0.36,0.46,0.81,0.09,-0.2,0.89
0.37,0.45,0.79,-0.23,-0.21,0.76
0.37,0.45,0.81,-0.75,-0.24,0.72
0.37,0.44,0.8,-0.95,0.2,0.38
0.37,0.43,0.8,-1.18,-0.09,-0.03
0.37,0.44,0.81,-1.42,0.06,-0.58
0.36,0.44,0.81,-2.18,-0.02,-0.78
0.37,0.44,0.8,-2.6,0.05,-0.67
0.37,0.45,0.82,-2.85,-0.44,-0.12
0.36,0.44,0.82,-2.53,-0.11,0.21
0.36,0.44,0.81,-2.21,-0.73,0.32
0.37,0.43,0.82,-1.42,-0.52,0.18
0.36,0.44,0.82,-1.5,-0.82,0.41
0.37,0.43,0.83,-1.18,-0.95,0.66
0.37,0.43,0.81,-0.52,-0.84,0.85
0.38,0.42,0.81,0.24,-0.53,0.63
0.38,0.43,0.81,0.4,0.24,0.64
0.38,0.43,0.81,0.21,-0.03,0.41
0.37,0.44,0.82,0.23,0.0,-0.11
0.37,0.45,0.81,0.29,-0.56,0.29
0.38,0.45,0.81,0.24,-0.43,0.5
0.37,0.44,0.82,0.12,-0.61,0.56
0.37,0.43,0.81,-0.17,-0.6,0.53
0.37,0.43,0.81,-0.02,-0.2,0.61
0.37,0.43,0.81,0.47,0.03,0.56
0.37,0.43,0.82,0.7,0.69,0.84
0.38,0.43,0.81,1.1,1.18,0.7
0.37,0.44,0.81,1.45,1.39,0.95
0.38,0.44,0.81,1.73,1.65,1.07
0.37,0.44,0.81,2.05,1.34,1.53
0.36,0.44,0.81,2.79,1.04,1.74
0.36,0.44,0.82,3.45,0.72,1.94
0.37,0.44,0.81,4.4,1.27,2.27
0.37,0.45,0.82,4.49,0.69,2.64
0.37,0.45,0.82,5.1,0.64,2.76
0.38,0.45,0.81,5.59,0.69,3.01
0.38,0.44,0.8,5.59,0.21,3.13
0.38,0.45,0.8,5.71,0.15,2.73
0.37,0.46,0.79,5.6,0.35,2.69
0.38,0.45,0.8,5.98,0.7,2.43
0.38,0.46,0.8,5.63,1.05,2.32
0.37,0.46,0.8,5.1,1.18,2.17
0.37,0.46,0.81,4.37,0.78,1.98
0.37,0.46,0.8,4.0,0.66,1.54
0.36,0.46,0.8,3.53,0.08,1.34
0.37,0.46,0.81,2.92,0.14,1.22
0.37,0.45,0.81,2.55,-0.09,0.85
0.37,0.46,0.81,2.56,0.0,0.67
0.38,0.45,0.8,2.4,0.26,0.6
0.38,0.46,0.8,1.79,0.47,0.6
0.37,0.46,0.8,2.05,1.16,0.52
0.37,0.46,0.81,1.97,1.71,0.82
0.37,0.45,0.81,1.73,2.21,0.95
0.37,0.44,0.81,2.02,2.46,0.79
0.37,0.44,0.81,2.4,2.5,0.93
0.37,0.45,0.81,2.35,2.73,0.98
0.37,0.45,0.82,2.32,2.78,0.99
0.37,0.45,0.81,2.4,2.64,0.84
0.37,0.46,0.8,2.67,2.37,0.96
0.37,0.46,0.81,2.89,2.53,1.1
0.38,0.45,0.8,2.96,2.5,1.04
0.37,0.45,0.8,3.25,2.06,0.93
0.37,0.46,0.8,3.28,1.97,0.81
0.37,0.46,0.81,3.44,1.88,0.61
0.37,0.46,0.81,3.62,1.95,0.43
0.37,0.46,0.8,3.71,1.66,0.49
0.37,0.46,0.8,3.74,1.91,0.34
0.37,0.46,0.8,3.73,1.92,0.11
0.37,0.46,0.81,3.13,1.15,0.32
0.36,0.46,0.79,3.86,2.0,0.03
0.37,0.46,0.8,3.63,1.88,-0.37
0.36,0.46,0.8,3.31,1.77,0.09
0.37,0.46,0.81,3.05,1.21,-0.08
0.37,0.46,0.81,2.67,1.16,0.32
0.37,0.47,0.8,2.17,0.93,0.37
0.37,0.46,0.81,2.11,0.78,0.26
0.37,0.47,0.81,2.09,0.84,1.37
0.37,0.47,0.79,1.63,-0.56,3.13
0.38,0.48,0.8,0.89,-0.06,4.55
0.37,0.47,0.81,0.03,0.35,5.33
0.38,0.47,0.81,-0.29,1.15,5.25
0.37,0.46,0.81,-1.08,2.14,4.31
0.36,0.45,0.8,-0.95,2.61,3.53
0.35,0.45,0.8,-0.76,2.23,2.56
0.36,0.46,0.79,-1.74,1.42,1.85
0.35,0.47,0.8,-1.95,0.34,1.34
0.35,0.47,0.81,-0.81,0.46,1.21
0.36,0.46,0.81,-0.11,0.64,0.95
0.38,0.46,0.81,0.76,1.63,0.78
0.37,0.43,0.79,2.26,3.3,-0.24
0.39,0.43,0.81,2.9,3.98,0.14
0.38,0.46,0.8,2.12,3.6,-0.43
0.35,0.46,0.79,3.63,2.49,-1.51
0.38,0.48,0.8,3.63,2.02,-1.15
0.37,0.48,0.8,2.55,1.77,-2.03
0.36,0.48,0.79,2.2,1.19,-2.82
0.36,0.47,0.8,1.45,1.4,-2.92
0.36,0.47,0.8,1.28,0.9,-3.45
0.35,0.46,0.81,0.55,0.64,-4.66
0.34,0.46,0.81,0.47,0.05,-6.23
0.34,0.46,0.8,0.79,0.35,-8.44
0.32,0.44,0.8,2.27,-0.63,-13.16
0.3,0.43,0.79,5.59,-2.0,-20.66
0.3,0.42,0.81,10.93,-4.5,-26.47
0.35,0.47,0.78,15.27,-3.76,-24.12
0.4,0.49,0.79,14.18,-3.76,-17.53
0.37,0.47,0.71,15.24,-2.85,-11.82
0.48,0.47,0.78,19.79,-1.24,-5.98
0.42,0.52,0.79,13.86,8.46,-2.82
0.36,0.54,0.83,7.76,6.46,-1.48
0.35,0.53,0.83,1.97,0.52,-0.46
0.36,0.53,0.79,-1.91,-4.18,1.18
0.36,0.53,0.78,-4.35,-4.34,0.61
0.35,0.5,0.79,-2.92,-4.32,-0.47
0.35,0.48,0.79,-0.2,-5.22,-0.27
0.35,0.46,0.8,2.08,-5.15,-0.11
0.35,0.46,0.79,3.66,-3.31,0.82
0.33,0.45,0.78,7.6,-2.47,4.44
0.34,0.47,0.8,8.9,-1.8,8.95
0.32,0.47,0.79,10.09,-2.35,14.21
0.33,0.45,0.76,14.6,-4.79,21.45
0.35,0.46,0.72,17.16,-5.39,26.21
0.61,0.55,0.85,9.63,-1.62,27.91
0.25,0.43,0.57,8.4,1.51,23.83
0.42,0.52,0.87,11.91,3.07,22.53
0.17,0.5,0.87,6.95,-4.41,19.01
0.26,0.49,0.7,13.31,-28.2,25.39
0.24,0.58,0.57,20.09,-46.2,19.73
0.39,0.61,0.82,13.39,-45.36,14.66
0.53,0.51,0.83,11.33,-39.37,17.51
0.55,0.42,0.81,15.71,-30.79,18.09
0.3,0.41,0.78,23.66,-24.81,14.4
0.38,0.4,0.66,33.36,-17.31,13.82
0.37,0.45,0.75,41.42,-21.95,20.29
0.38,0.48,0.73,44.6,-14.27,14.32
0.35,0.49,0.77,46.43,-14.9,16.05
0.47,0.52,0.81,43.54,-12.5,17.51
0.39,0.58,0.78,39.91,-10.87,12.49
0.39,0.57,0.77,33.94,-11.28,16.15
0.47,0.56,0.75,26.81,-7.16,16.93
0.47,0.56,0.75,18.69,-3.79,10.08
0.43,0.56,0.75,8.32,-3.53,3.56
0.44,0.54,0.77,-0.21,-0.06,-0.38
0.47,0.55,0.78,-7.94,2.95,-1.1
0.47,0.54,0.78,-13.04,6.29,-7.33
0.39,0.55,0.81,-19.04,9.74,-16.69
0.39,0.54,0.82,-26.18,14.76,-27.3
0.41,0.54,0.82,-29.91,17.44,-30.08
0.46,0.52,0.78,-31.62,18.53,-30.85
