acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.53,0.7,0.46,1.3,0.73,1.5
-0.53,0.69,0.46,1.48,1.22,1.4
-0.53,0.69,0.46,1.21,1.45,1.3
-0.53,0.69,0.46,0.67,0.9,0.69
-0.54,0.69,0.45,0.67,0.32,0.95
-0.54,0.7,0.45,0.92,0.84,1.44
-0.53,0.7,0.44,1.01,3.15,2.34
-0.53,0.69,0.46,0.82,4.95,2.85
-0.52,0.67,0.46,0.63,5.76,1.82
-0.53,0.69,0.47,-0.32,4.79,1.07
-0.53,0.69,0.48,-0.75,2.89,0.53
-0.52,0.69,0.47,-0.79,1.25,0.49
-0.52,0.7,0.47,-0.47,0.67,0.63
-0.51,0.7,0.47,0.17,1.53,0.92
-0.52,0.7,0.46,0.43,1.89,1.02
-0.52,0.7,0.46,0.93,2.05,1.27
-0.53,0.7,0.46,1.11,0.9,1.22
-0.53,0.7,0.47,1.1,-0.02,1.15
-0.53,0.69,0.46,1.19,-0.49,1.02
-0.54,0.69,0.45,1.37,-0.31,0.82
-0.53,0.69,0.45,1.28,0.2,0.81
-0.54,0.7,0.45,1.39,1.25,1.25
-0.53,0.69,0.45,1.36,1.33,1.31
-0.54,0.69,0.45,1.33,1.3,1.48
-0.53,0.69,0.46,1.5,1.18,1.54
-0.53,0.69,0.46,1.22,1.5,1.56
-0.53,0.68,0.46,0.82,1.94,1.5
-0.53,0.69,0.47,0.43,2.15,1.62
-0.53,0.69,0.47,0.03,1.47,1.42
-0.53,0.69,0.46,-0.03,0.9,1.57
-0.53,0.7,0.46,0.05,0.72,1.5
-0.53,0.7,0.46,-0.17,0.96,1.3
-0.53,0.7,0.45,0.2,0.7,1.51
-0.53,0.7,0.45,0.27,0.87,1.48
-0.53,0.7,0.45,0.2,0.6,2.35
-0.53,0.7,0.46,0.35,1.08,2.53
-0.53,0.69,0.46,0.46,1.6,1.92
-0.54,0.69,0.46,0.17,1.47,1.33
-0.54,0.7,0.47,0.09,0.5,1.24
-0.53,0.69,0.46,-0.14,0.02,1.19
-0.52,0.7,0.46,0.14,0.08,1.25
-0.52,0.7,0.46,0.32,0.37,1.27
-0.53,0.7,0.47,0.31,0.29,1.44
-0.52,0.7,0.46,0.29,0.47,1.68
-0.53,0.69,0.46,0.31,0.67,1.63
-0.53,0.69,0.47,-0.03,0.58,1.25
-0.53,0.69,0.46,-0.09,0.34,0.98
-0.53,0.69,0.47,-0.15,0.46,0.81
-0.53,0.69,0.47,-0.08,0.5,0.73
-0.53,0.69,0.47,-0.06,0.69,0.82
-0.54,0.7,0.45,-0.02,1.1,0.95
