acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.39,0.48,0.79,0.26,0.0,0.92
0.37,0.47,0.8,0.46,-0.17,1.07
0.38,0.47,0.78,0.76,-0.12,1.45
0.38,0.46,0.8,1.04,0.2,1.66
0.38,0.46,0.8,1.27,0.18,1.6
0.38,0.46,0.79,1.31,0.35,1.91
0.38,0.47,0.79,1.4,0.5,1.92
0.39,0.47,0.79,1.56,0.7,2.09
0.38,0.47,0.79,1.34,0.76,2.11
0.38,0.48,0.8,1.5,0.79,1.86
0.38,0.48,0.79,1.48,0.98,1.66
0.38,0.48,0.78,1.53,0.66,1.51
0.38,0.48,0.79,1.21,0.72,1.19
0.38,0.48,0.8,1.34,0.63,0.84
0.38,0.48,0.78,0.99,0.41,0.73
0.38,0.48,0.79,1.07,0.23,0.52
0.38,0.48,0.77,1.51,0.26,0.29
0.38,0.48,0.79,1.11,0.55,0.35
0.38,0.47,0.78,1.6,0.92,0.21
0.38,0.47,0.79,1.82,0.93,0.37
0.38,0.47,0.79,2.29,1.19,0.49
0.37,0.46,0.79,2.5,1.44,0.41
0.38,0.47,0.79,3.68,1.47,0.58
0.38,0.47,0.81,2.82,1.66,1.01
0.37,0.48,0.81,3.3,1.37,0.69
0.38,0.47,0.79,3.01,1.05,1.51
0.38,0.47,0.79,3.48,1.08,1.74
0.38,0.47,0.79,3.57,1.44,1.5
0.38,0.48,0.79,3.59,1.57,1.65
0.38,0.47,0.79,3.1,0.79,1.34
0.38,0.48,0.79,3.1,1.18,1.19
0.38,0.48,0.79,2.95,1.16,1.1
0.38,0.47,0.78,2.98,0.78,0.81
0.38,0.48,0.79,2.95,1.11,0.26
0.38,0.48,0.78,2.9,0.89,0.44
0.38,0.48,0.78,2.76,0.93,0.52
0.38,0.47,0.78,2.7,0.93,0.37
0.38,0.49,0.79,2.92,1.3,0.49
0.38,0.48,0.79,3.15,1.05,0.55
0.38,0.48,0.78,3.65,1.34,0.53
0.38,0.48,0.79,3.39,1.13,0.73
0.37,0.47,0.79,3.91,1.04,1.11
0.38,0.48,0.78,4.02,0.73,1.39
0.38,0.49,0.79,4.12,0.84,1.56
0.38,0.48,0.78,4.06,0.99,1.48
0.38,0.48,0.79,4.4,1.4,1.48
0.37,0.48,0.78,4.27,1.4,1.42
0.38,0.49,0.79,4.34,1.27,1.5
0.38,0.49,0.77,3.8,0.9,1.21
0.37,0.49,0.79,3.36,0.84,0.98
0.38,0.48,0.78,3.51,1.21,0.84
0.38,0.49,0.78,3.16,1.05,0.87
0.39,0.49,0.78,3.28,1.39,0.72
0.38,0.49,0.77,3.3,1.57,0.41
0.38,0.5,0.78,2.89,2.32,0.32
0.38,0.49,0.78,3.08,2.18,0.18
0.38,0.49,0.79,3.6,2.32,0.03
0.37,0.49,0.78,3.25,1.77,0.2
0.37,0.48,0.8,3.11,2.5,0.31
0.37,0.48,0.78,2.2,1.31,0.89
0.36,0.49,0.79,1.45,0.41,1.02
0.36,0.5,0.79,1.57,-0.11,0.96
0.36,0.5,0.79,2.27,0.14,1.21
0.37,0.5,0.79,3.18,0.99,2.15
0.38,0.47,0.77,5.8,3.01,1.77
0.4,0.47,0.78,6.11,3.85,1.44
0.38,0.48,0.78,6.67,4.15,0.18
0.37,0.47,0.73,8.43,3.33,-0.73
0.38,0.51,0.79,8.84,4.67,-2.09
0.37,0.52,0.78,7.79,3.76,-2.2
0.37,0.52,0.79,5.33,3.1,-2.18
0.37,0.51,0.78,4.6,2.76,-1.92
0.37,0.51,0.79,3.79,3.1,-1.76
0.37,0.5,0.79,3.65,2.79,-1.69
0.37,0.5,0.78,3.66,3.4,-2.2
0.37,0.5,0.79,3.1,3.66,-2.53
0.34,0.49,0.75,3.57,2.95,-3.08
0.36,0.5,0.79,2.23,2.4,-2.41
0.37,0.5,0.79,2.4,2.67,-1.92
0.37,0.51,0.79,1.71,2.15,-0.78
0.37,0.51,0.79,1.1,2.35,-0.29
0.37,0.52,0.79,0.41,1.59,-0.02
0.37,0.51,0.79,0.24,0.78,0.64
0.37,0.5,0.78,-0.64,-0.03,1.62
0.37,0.51,0.78,-2.02,-0.99,2.31
0.37,0.5,0.78,-2.61,-1.73,2.85
0.36,0.49,0.75,-2.78,-2.84,3.13
0.37,0.5,0.76,-2.66,-2.09,3.24
0.36,0.5,0.76,-2.44,-2.0,2.63
0.35,0.49,0.76,-1.08,-1.37,2.37
0.37,0.5,0.76,0.5,0.14,1.73
